Account,date,daily_pnl,trades_per_day,win_rate,avg_trade_size_usd,long_ratio,short_ratio,risk_proxy,fees,classification,value,sentiment_group
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-17,43.69239,13,0.07692307692307693,423.4723076923077,0.07692307692307693,0.9230769230769231,195.0125519077342,1.926789,Extreme Greed,75.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-18,1055.8044439999999,40,0.5,565.99425,0.55,0.45,103.8154543296555,7.923902,Extreme Greed,77.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-19,0.0,13,0.0,508.26307692307694,0.0,1.0,302.6506396270913,2.312596,Extreme Greed,77.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-20,1876.265511,44,0.4318181818181818,674.2861363636364,0.4772727272727273,0.5227272727272727,258.08598135600704,10.383988,Extreme Greed,76.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-21,201.672306,206,0.16990291262135923,288.69718446601945,0.1796116504854369,0.8203883495145631,34.67610973120353,20.814922,Extreme Greed,76.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-22,261.367634,147,0.08843537414965986,590.73,0.19727891156462585,0.8027210884353742,39.36571859920265,30.392978,Extreme Greed,84.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-23,7503.093009,275,0.4690909090909091,646.8723272727273,0.5527272727272727,0.44727272727272727,29.14457736103421,58.539402,Extreme Greed,75.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-24,288.144978,61,0.03278688524590164,349.93508196721314,0.03278688524590164,0.9672131147540983,72.88453286387586,7.4710719999999995,Extreme Greed,75.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-25,1125.196124,111,0.22522522522522523,498.1863963963964,0.22522522522522523,0.7747747747747747,23.735828914132526,19.354491,Extreme Greed,75.0,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-01-26,444.464792,96,0.21875,815.5705208333334,0.3020833333333333,0.6979166666666666,23.614550843420943,27.403108,Greed,73.0,Greed
